"DateTime","Scenario","Node","Price"
"26-FEB-2025 11:55","base","BEN2201",76.706
"26-FEB-2025 11:55","base","HAY2201",81.253
"26-FEB-2025 11:55","base","INV2201",79.724
"26-FEB-2025 11:55","base","ISL2201",80.337
"26-FEB-2025 11:55","base","KIK2201",81.068
"26-FEB-2025 11:55","base","OTA2201",92.758
"26-FEB-2025 11:55","base","RDF2201",88.106
"26-FEB-2025 11:55","base","SFD2201",82.925
"26-FEB-2025 11:55","base","WKM2201",87.445
"26-FEB-2025 11:55","increase conforming load 0.5%","BEN2201",124.398
"26-FEB-2025 11:55","increase conforming load 0.5%","HAY2201",131.772
"26-FEB-2025 11:55","increase conforming load 0.5%","INV2201",129.294
"26-FEB-2025 11:55","increase conforming load 0.5%","ISL2201",130.287
"26-FEB-2025 11:55","increase conforming load 0.5%","KIK2201",131.472
"26-FEB-2025 11:55","increase conforming load 0.5%","OTA2201",150.159
"26-FEB-2025 11:55","increase conforming load 0.5%","RDF2201",142.629
"26-FEB-2025 11:55","increase conforming load 0.5%","SFD2201",134.242
"26-FEB-2025 11:55","increase conforming load 0.5%","WKM2201",141.559
"26-FEB-2025 11:55","increase conforming load 1.0%","BEN2201",144.592
"26-FEB-2025 11:55","increase conforming load 1.0%","HAY2201",153.163
"26-FEB-2025 11:55","increase conforming load 1.0%","INV2201",150.282
"26-FEB-2025 11:55","increase conforming load 1.0%","ISL2201",151.437
"26-FEB-2025 11:55","increase conforming load 1.0%","KIK2201",152.814
"26-FEB-2025 11:55","increase conforming load 1.0%","OTA2201",173.487
"26-FEB-2025 11:55","increase conforming load 1.0%","RDF2201",164.757
"26-FEB-2025 11:55","increase conforming load 1.0%","SFD2201",155.782
"26-FEB-2025 11:55","increase conforming load 1.0%","WKM2201",163.460
"26-FEB-2025 11:55","increase conforming load 1.5%","BEN2201",182.939
"26-FEB-2025 11:55","increase conforming load 1.5%","HAY2201",193.784
"26-FEB-2025 11:55","increase conforming load 1.5%","INV2201",190.139
"26-FEB-2025 11:55","increase conforming load 1.5%","ISL2201",191.600
"26-FEB-2025 11:55","increase conforming load 1.5%","KIK2201",193.343
"26-FEB-2025 11:55","increase conforming load 1.5%","OTA2201",219.341
"26-FEB-2025 11:55","increase conforming load 1.5%","RDF2201",208.339
"26-FEB-2025 11:55","increase conforming load 1.5%","SFD2201",197.063
"26-FEB-2025 11:55","increase conforming load 1.5%","WKM2201",206.694
"26-FEB-2025 11:55","increase conforming load 2.0%","BEN2201",203.855
"26-FEB-2025 11:55","increase conforming load 2.0%","HAY2201",215.939
"26-FEB-2025 11:55","increase conforming load 2.0%","INV2201",211.877
"26-FEB-2025 11:55","increase conforming load 2.0%","ISL2201",213.506
"26-FEB-2025 11:55","increase conforming load 2.0%","KIK2201",215.447
"26-FEB-2025 11:55","increase conforming load 2.0%","OTA2201",246.121
"26-FEB-2025 11:55","increase conforming load 2.0%","RDF2201",233.790
"26-FEB-2025 11:55","increase conforming load 2.0%","SFD2201",220.000
"26-FEB-2025 11:55","increase conforming load 2.0%","WKM2201",232.039
"26-FEB-2025 11:55","increase conforming load 3.0%","BEN2201",250.000
"26-FEB-2025 11:55","increase conforming load 3.0%","HAY2201",281.611
"26-FEB-2025 11:55","increase conforming load 3.0%","INV2201",260.203
"26-FEB-2025 11:55","increase conforming load 3.0%","ISL2201",261.773
"26-FEB-2025 11:55","increase conforming load 3.0%","KIK2201",264.154
"26-FEB-2025 11:55","increase conforming load 3.0%","OTA2201",321.559
"26-FEB-2025 11:55","increase conforming load 3.0%","RDF2201",305.441
"26-FEB-2025 11:55","increase conforming load 3.0%","SFD2201",287.426
"26-FEB-2025 11:55","increase conforming load 3.0%","WKM2201",303.153
"26-FEB-2025 11:55","increase conforming load 4.0%","BEN2201",250.000
"26-FEB-2025 11:55","increase conforming load 4.0%","HAY2201",282.709
"26-FEB-2025 11:55","increase conforming load 4.0%","INV2201",260.283
"26-FEB-2025 11:55","increase conforming load 4.0%","ISL2201",262.962
"26-FEB-2025 11:55","increase conforming load 4.0%","KIK2201",265.353
"26-FEB-2025 11:55","increase conforming load 4.0%","OTA2201",324.328
"26-FEB-2025 11:55","increase conforming load 4.0%","RDF2201",308.415
"26-FEB-2025 11:55","increase conforming load 4.0%","SFD2201",289.000
"26-FEB-2025 11:55","increase conforming load 4.0%","WKM2201",305.881
"26-FEB-2025 11:55","increase conforming load 5.0%","BEN2201",251.342
"26-FEB-2025 11:55","increase conforming load 5.0%","HAY2201",284.129
"26-FEB-2025 11:55","increase conforming load 5.0%","INV2201",261.698
"26-FEB-2025 11:55","increase conforming load 5.0%","ISL2201",264.395
"26-FEB-2025 11:55","increase conforming load 5.0%","KIK2201",266.799
"26-FEB-2025 11:55","increase conforming load 5.0%","OTA2201",326.036
"26-FEB-2025 11:55","increase conforming load 5.0%","RDF2201",309.979
"26-FEB-2025 11:55","increase conforming load 5.0%","SFD2201",290.445
"26-FEB-2025 11:55","increase conforming load 5.0%","WKM2201",307.433
"26-FEB-2025 11:55","decrease conforming load 0.5%","BEN2201",76.673
"26-FEB-2025 11:55","decrease conforming load 0.5%","HAY2201",81.218
"26-FEB-2025 11:55","decrease conforming load 0.5%","INV2201",79.640
"26-FEB-2025 11:55","decrease conforming load 0.5%","ISL2201",80.243
"26-FEB-2025 11:55","decrease conforming load 0.5%","KIK2201",80.973
"26-FEB-2025 11:55","decrease conforming load 0.5%","OTA2201",92.726
"26-FEB-2025 11:55","decrease conforming load 0.5%","RDF2201",88.091
"26-FEB-2025 11:55","decrease conforming load 0.5%","SFD2201",82.918
"26-FEB-2025 11:55","decrease conforming load 0.5%","WKM2201",87.430
"26-FEB-2025 11:55","decrease conforming load 1.0%","BEN2201",55.892
"26-FEB-2025 11:55","decrease conforming load 1.0%","HAY2201",75.997
"26-FEB-2025 11:55","decrease conforming load 1.0%","INV2201",58.025
"26-FEB-2025 11:55","decrease conforming load 1.0%","ISL2201",58.475
"26-FEB-2025 11:55","decrease conforming load 1.0%","KIK2201",59.006
"26-FEB-2025 11:55","decrease conforming load 1.0%","OTA2201",86.765
"26-FEB-2025 11:55","decrease conforming load 1.0%","RDF2201",82.429
"26-FEB-2025 11:55","decrease conforming load 1.0%","SFD2201",77.588
"26-FEB-2025 11:55","decrease conforming load 1.0%","WKM2201",81.810
"26-FEB-2025 11:55","decrease conforming load 1.5%","BEN2201",55.892
"26-FEB-2025 11:55","decrease conforming load 1.5%","HAY2201",75.997
"26-FEB-2025 11:55","decrease conforming load 1.5%","INV2201",58.025
"26-FEB-2025 11:55","decrease conforming load 1.5%","ISL2201",58.475
"26-FEB-2025 11:55","decrease conforming load 1.5%","KIK2201",59.005
"26-FEB-2025 11:55","decrease conforming load 1.5%","OTA2201",86.765
"26-FEB-2025 11:55","decrease conforming load 1.5%","RDF2201",82.429
"26-FEB-2025 11:55","decrease conforming load 1.5%","SFD2201",77.588
"26-FEB-2025 11:55","decrease conforming load 1.5%","WKM2201",81.810
"26-FEB-2025 11:55","decrease conforming load 2.0%","BEN2201",1.548
"26-FEB-2025 11:55","decrease conforming load 2.0%","HAY2201",14.721
"26-FEB-2025 11:55","decrease conforming load 2.0%","INV2201",1.608
"26-FEB-2025 11:55","decrease conforming load 2.0%","ISL2201",1.620
"26-FEB-2025 11:55","decrease conforming load 2.0%","KIK2201",1.635
"26-FEB-2025 11:55","decrease conforming load 2.0%","OTA2201",16.807
"26-FEB-2025 11:55","decrease conforming load 2.0%","RDF2201",15.967
"26-FEB-2025 11:55","decrease conforming load 2.0%","SFD2201",15.029
"26-FEB-2025 11:55","decrease conforming load 2.0%","WKM2201",15.847
"26-FEB-2025 11:55","decrease conforming load 3.0%","BEN2201",0.031
"26-FEB-2025 11:55","decrease conforming load 3.0%","HAY2201",0.144
"26-FEB-2025 11:55","decrease conforming load 3.0%","INV2201",0.032
"26-FEB-2025 11:55","decrease conforming load 3.0%","ISL2201",0.032
"26-FEB-2025 11:55","decrease conforming load 3.0%","KIK2201",0.032
"26-FEB-2025 11:55","decrease conforming load 3.0%","OTA2201",0.165
"26-FEB-2025 11:55","decrease conforming load 3.0%","RDF2201",0.157
"26-FEB-2025 11:55","decrease conforming load 3.0%","SFD2201",0.147
"26-FEB-2025 11:55","decrease conforming load 3.0%","WKM2201",0.156
"26-FEB-2025 11:55","decrease conforming load 4.0%","BEN2201",0.031
"26-FEB-2025 11:55","decrease conforming load 4.0%","HAY2201",17.558
"26-FEB-2025 11:55","decrease conforming load 4.0%","INV2201",0.032
"26-FEB-2025 11:55","decrease conforming load 4.0%","ISL2201",0.032
"26-FEB-2025 11:55","decrease conforming load 4.0%","KIK2201",0.032
"26-FEB-2025 11:55","decrease conforming load 4.0%","OTA2201",19.848
"26-FEB-2025 11:55","decrease conforming load 4.0%","RDF2201",18.853
"26-FEB-2025 11:55","decrease conforming load 4.0%","SFD2201",17.840
"26-FEB-2025 11:55","decrease conforming load 4.0%","WKM2201",18.705
"26-FEB-2025 11:55","decrease conforming load 5.0%","BEN2201",0.030
"26-FEB-2025 11:55","decrease conforming load 5.0%","HAY2201",17.558
"26-FEB-2025 11:55","decrease conforming load 5.0%","INV2201",0.032
"26-FEB-2025 11:55","decrease conforming load 5.0%","ISL2201",0.032
"26-FEB-2025 11:55","decrease conforming load 5.0%","KIK2201",0.032
"26-FEB-2025 11:55","decrease conforming load 5.0%","OTA2201",19.822
"26-FEB-2025 11:55","decrease conforming load 5.0%","RDF2201",18.837
"26-FEB-2025 11:55","decrease conforming load 5.0%","SFD2201",17.834
"26-FEB-2025 11:55","decrease conforming load 5.0%","WKM2201",18.683
